"File","Change","Regression","Detail"
"isartor test files\doc\isartor test suite manual.pdf","RULES_CHANGED","False","removed: ISO 19005-1:2005 clause 6.1.4 test 3"
"isartor test files\pdfa-1b\6.1 file structure\6.1.2 file header\isartor-6-1-2-t01-fail-a.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"isartor test files\pdfa-1b\6.1 file structure\6.1.2 file header\isartor-6-1-2-t02-fail-a.pdf","NOW_COMPLIANT","False","removed: ISO 19005-1:2005 clause 6.1.2 test 2"
"isartor test files\pdfa-1b\6.1 file structure\6.1.3 file trailer\isartor-6-1-3-t01-fail-a.pdf","NOW_COMPLIANT","False","removed: ISO 19005-1:2005 clause 6.1.3 test 1"
"isartor test files\pdfa-1b\6.1 file structure\6.1.3 file trailer\isartor-6-1-3-t02-fail-a.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"isartor test files\pdfa-1b\6.1 file structure\6.1.3 file trailer\isartor-6-1-3-t03-fail-a.pdf","NOW_COMPLIANT","False","removed: ISO 19005-1:2005 clause 6.1.3 test 3"
"isartor test files\pdfa-1b\6.1 file structure\6.1.3 file trailer\isartor-6-1-3-t04-fail-a.pdf","NOW_COMPLIANT","False","removed: ISO 19005-1:2005 clause 6.1.3 test 4"
"isartor test files\pdfa-1b\6.1 file structure\6.1.4 cross reference trailer\isartor-6-1-4-t01-fail-a.pdf","NOW_COMPLIANT","False","removed: ISO 19005-1:2005 clause 6.1.4 test 1"
"isartor test files\pdfa-1b\6.1 file structure\6.1.4 cross reference trailer\isartor-6-1-4-t02-fail-a.pdf","NOW_COMPLIANT","False","removed: ISO 19005-1:2005 clause 6.1.4 test 2"
"isartor test files\pdfa-1b\6.1 file structure\6.1.6 string objects\isartor-6-1-6-t01-fail-a.pdf","NOW_COMPLIANT","False","removed: ISO 19005-1:2005 clause 6.1.6 test 1"
"isartor test files\pdfa-1b\6.1 file structure\6.1.7 stream objects\isartor-6-1-7-t01-fail-a.pdf","NOW_COMPLIANT","False","removed: ISO 19005-1:2005 clause 6.1.7 test 1 | ISO 19005-1:2005 clause 6.1.7 test 2"
"isartor test files\pdfa-1b\6.1 file structure\6.1.7 stream objects\isartor-6-1-7-t02-fail-a.pdf","NOW_COMPLIANT","False","removed: ISO 19005-1:2005 clause 6.1.7 test 1 | ISO 19005-1:2005 clause 6.1.7 test 2"
"isartor test files\pdfa-1b\6.1 file structure\6.1.7 stream objects\isartor-6-1-7-t03-fail-a.pdf","NOW_COMPLIANT","False","removed: ISO 19005-1:2005 clause 6.1.7 test 1"
"isartor test files\pdfa-1b\6.1 file structure\6.1.7 stream objects\isartor-6-1-7-t04-fail-a.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"isartor test files\pdfa-1b\6.1 file structure\6.1.7 stream objects\isartor-6-1-7-t04-fail-b.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"isartor test files\pdfa-1b\6.1 file structure\6.1.7 stream objects\isartor-6-1-7-t04-fail-c.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"isartor test files\pdfa-1b\6.1 file structure\6.1.8 indirect objects\isartor-6-1-8-t01-fail-a.pdf","NOW_COMPLIANT","False","removed: ISO 19005-1:2005 clause 6.1.8 test 1"
"isartor test files\pdfa-1b\6.1 file structure\6.1.8 indirect objects\isartor-6-1-8-t02-fail-a.pdf","NOW_COMPLIANT","False","removed: ISO 19005-1:2005 clause 6.1.8 test 1"
"isartor test files\pdfa-1b\6.1 file structure\6.1.8 indirect objects\isartor-6-1-8-t03-fail-a.pdf","NOW_COMPLIANT","False","removed: ISO 19005-1:2005 clause 6.1.8 test 1"
"isartor test files\pdfa-1b\6.1 file structure\6.1.8 indirect objects\isartor-6-1-8-t04-fail-a.pdf","NOW_COMPLIANT","False","removed: ISO 19005-1:2005 clause 6.1.8 test 1"
"isartor test files\pdfa-1b\6.1 file structure\6.1.8 indirect objects\isartor-6-1-8-t05-fail-a.pdf","NOW_COMPLIANT","False","removed: ISO 19005-1:2005 clause 6.1.8 test 1"
"isartor test files\pdfa-1b\6.1 file structure\6.1.8 indirect objects\isartor-6-1-8-t06-fail-a.pdf","NOW_COMPLIANT","False","removed: ISO 19005-1:2005 clause 6.1.8 test 1"
"isartor test files\pdfa-1b\6.2 graphics\6.2.3 colour spaces\6.2.3.3 uncalibrated colour spaces\isartor-6-2-3-3-t03-fail-a.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"iso 32000-2\verapdf test suite 6-1-3-t04-fail-b.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-1b\6.1 file structure\6.1.12 implementation limits\verapdf test suite 6-1-12-t02-fail-f.pdf","NOW_COMPLIANT","False","removed: ISO 19005-1:2005 clause 6.1.12 test 2"
"pdf_a-1b\6.1 file structure\6.1.2 file header\verapdf test suite 6-1-2-t01-fail-a.pdf","NOW_COMPLIANT","False","removed: ISO 19005-1:2005 clause 6.1.2 test 1"
"pdf_a-1b\6.1 file structure\6.1.2 file header\verapdf test suite 6-1-2-t01-fail-b.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-1b\6.1 file structure\6.1.2 file header\verapdf test suite 6-1-2-t01-pass-a.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-1b\6.1 file structure\6.1.2 file header\verapdf test suite 6-1-2-t02-fail-a.pdf","NOW_COMPLIANT","False","removed: ISO 19005-1:2005 clause 6.1.2 test 2"
